Sample_ID,Model,System_Prompt,Question,Context,Ground_Truth_Answer,Extract_EN
171,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,"Khi quá liều thuốc Be-Stedy 16, người bệnh cần được theo dõi như thế nào để có hướng xử trí kịp thời?","Các triệu chứng sau sẽ xuất hiện khi một người dùng quá liều thuốc: buồn nôn, nôn, khó tiêu, mất điều hoà co giật. Thậm chí một số người còn mắc phải các biến chứng nghiêm trọng ở phổi và tim. Điều này xảy ra khi người bệnh dùng thuốc quá liều có chủ ý hoặc kết hợp với các thuốc khác cũng ở tình trạng quá liều. Nếu đã sử dụng quá liều thuốc, người bệnh cần được theo dõi kỹ để nhanh chóng phát hiện các triệu chứng quá liều để có hướng xử trí kịp thời.",Người bệnh cần được theo dõi kỹ để nhanh chóng phát hiện các triệu chứng quá liều để có hướng xử trí kịp thời.,"Khi quá liều thuốc Be-Stedy 16, người bệnh cần được theo dõi kỹ để nhanh chóng phát hiện các triệu chứng quá liều để có hướng xử trí kịp thời."
172,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Thuốc Atussin gây ra những triệu chứng cụ thể nào lên thần kinh?,#NAME?,"Thuốc Atussin gây ra các triệu chứng cụ thể lên thần kinh như buồn ngủ, mệt mỏi, chóng mặt, ngủ gật,…","Thuốc Atussin gây ra các triệu chứng cụ thể như buồn ngủ, mệt mỏi, chóng mặt, ngủ gật."
173,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Thời điểm nào trong ngày nên dùng thuốc Baburol?,"Thuốc được uống cùng với nước, liều chỉ định là 1 lần/ngày và nên uống thuốc trước khi đi ngủ. Sự hấp thu của thuốc không bị ảnh hưởng bởi thức ăn.",Nên uống thuốc trước khi đi ngủ.,Thuốc Baburol nên được uống trước khi đi ngủ.
174,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Anaferon được sử dụng như thế nào?,"Anaferon là thuốc chứa thành phần hoạt chất chính là kháng thể kháng Interferon gamma, góp phần chống lại virut. Thuốc được bào chế dưới dạng viên nén tan trong khoang miệng, hàm lượng 3mg. Đây là một thuốc kê đơn, cần có chỉ định của bác sĩ mới được phép sử dụng.","Anaferon là thuốc kê đơn, cần có chỉ định của bác sĩ mới được phép sử dụng.","Anaferon được bào chế dưới dạng viên nén tan trong khoang miệng, hàm lượng 3mg."
175,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Trong trường hợp nào thì không nên sử dụng Axit axetic?,Bạn không nên dùng thuốc nếu quá mẫn với axit axetic (hoặc giấm) hay bất kì thành phần nào của thuốc.,Bạn không nên dùng thuốc nếu bạn quá mẫn với axit axetic (hoặc giấm) hay bất kỳ thành phần nào của thuốc.,Bạn không nên sử dụng Axit axetic nếu quá mẫn với axit axetic (hoặc giấm) hay bất kì thành phần nào của thuốc.
176,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Thuốc Adalat LA 20mg chứa thành phần chính nào?,"Thuốc Adalat LA 20 mg được chỉ định điều trị cho bệnh nhân tăng huyết áp, bệnh mạch vành và đau thắt ngực ổn định mãn tính. Thuốc chứa Nifedipine là thành phần chính và có thể sử dụng đơn trị liệu hoặc phối hợp với các thuốc khác.",Thuốc Adalat LA 20mg chứa hoạt chất chính là Nifedipine.,Thuốc Adalat LA 20mg chứa thành phần chính là Nifedipine.
177,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Đối tượng nào nên sử dụng thuốc bổ não Alpha Brain?,"Thuốc bổ não Alpha Brain được sử dụng trên các đối tượng - Người bệnh bị suy giảm trí nhớ, thiểu năng tuần hoàn não.
- Các đối tượng hoạt động trí óc thường xuyên.
- Ngoài ra, thuốc được dùng trên người mắc hội chứng Tiền đình gây các triệu chứng + Đau đầu + Hoa mắt, chóng mặt + Mất ngủ + Tình trạng mất thăng bằng.","Thuốc bổ não Alpha Brain phù hợp với người bị suy giảm trí nhớ, thiểu năng tuần hoàn não, người mắc hội chứng Tiền đình, cũng như các đối tượng hoạt động trí óc thường xuyên.","Thuốc bổ não Alpha Brain được sử dụng trên người bệnh bị suy giảm trí nhớ, thiểu năng tuần hoàn não."
178,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Những điều kiện cần lưu ý khi bảo quản thuốc Bisolvon là gì?,"- Bảo quản nơi khô ráo, không quá 30°C.
- Tránh xa tầm tay trẻ em. Thuốc Bisolvon thường được sử dụng trong các bệnh lý đường hô hấp. Ở những bệnh nhân bị tắc nghẽn đường thở do đờm tiết quá nhiều hay khó khăn trong việc khạc đờm. Bạn cần đi khám, tư vấn và chỉ định của bác sĩ để sử dụng thuốc một cách an toàn và hiệu quả nhất.",Bisolvon cần được bảo quản nơi khô ráo và không được vượt quá 30°C.,"Bảo quản thuốc Bisolvon ở nơi khô ráo, không quá 30°C và tránh xa tầm tay trẻ em."
179,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Khi nào có thể bỏ qua liều đã quên thuốc Auclanityl?,"Dùng ngay sau khi nhớ ra đã quên liều. - Nếu liều đã quên kề với liều kế tiếp. Bỏ qua liều đã quên và dùng theo đúng lịch trình dùng thuốc.
- Không dùng gấp đôi liều với mục đích bù vào liều đã quên.",Nếu liều đã quên kề với liều kế tiếp.,Khi liều đã quên kề với liều kế tiếp.
180,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Các triệu chứng nghi ngờ là tác dụng phụ của thuốc Acyclovir Stella Cream có thể gặp phải là gì?,"Khi sử dụng acyclovir thoa ngoài da có thể gây đau nhói thoáng qua, nóng rát, ngứa hay ban đỏ. Khi gặp bất kỳ triệu chứng nào nghi ngờ là tác dụng phụ của thuốc, hãy thông báo cho bác sĩ, dược sĩ hoặc cơ sở y tế gần nhất để được xử trí kịp thời.","Khi sử dụng Acyclovir Stella Cream có thể gây đau nhói thoáng qua, nóng rát, ngứa hay ban đỏ.","Các triệu chứng nghi ngờ là tác dụng phụ của thuốc Acyclovir Stella Cream có thể gặp phải là đau nhói thoáng qua, nóng rát, ngứa hay ban đỏ."
181,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Một hộp Agi-Ery có bao nhiêu vỉ thuốc?,"Giá bán Agi-Ery có thể khác nhau ở một số nhà thuốc, phòng khám, bệnh viện. Giá thuốc có thể dao động từ 120.000 – 135.000 VNĐ/Hộp 10 vỉ x 10 viên.","Một hộp Agi-Ery bao gồm 10 vỉ, mỗi vỉ gồm 10 viên thuốc.",Một hộp Agi-Ery có 10 vỉ x 10 viên.
182,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Thuốc Amiodarone có những dạng bào chế nào?,Thuốc Amiodarone là một thuốc chống loạn nhịp tim nhóm III (theo phân loại Vaughan Williams). Thuốc Amiodarone được bào chế dưới dạng viên nén và dung dịch tiêm truyền với các biệt dược như những hình ảnh dưới đây:    ,Thuốc Amiodarone được bào chế dưới dạng viên nén và dung dịch tiêm truyền.,Thuốc Amiodarone được bào chế dưới dạng viên nén và dung dịch tiêm truyền.
183,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Các tác dụng phụ thường gặp của thuốc Cozaar là gì?,"Các tác dụng phụ thường gặp của thuốc như: chóng mặt, hạ huyết áp tư thế, ban đỏ, đau ngực, suy nhược, mệt mỏi… Một số tác dụng phụ khác ít gặp hơn như: - Hô hấp: ho.
- Cơ xương: đau cơ, đau khớp.
- Huyết học: thiếu máu, giảm tiểu cầu.
- Tiêu hóa: viêm gan, chức năng gan bất thường, nôn.
- Rối loạn toàn thân hoặc tại nơi dùng thuốc: khó chịu.
- Da: mày đay, ngứa, đỏ da toàn thân, nhạy cảm với ánh sáng.
- Rối loạn cơ quan sinh sản và ngực: rối loạn cương dương/bất lực.
- Hệ thống thần kinh/tâm thần: đau nửa đầu (Migraine), loạn vị giác.
- Quá mẫn: các phản ứng phản vệ, phù mạch, kể cả phù thanh quản và thanh môn gây tắc đường thở và/hoặc phù mặt, môi, họng và/hoặc lưỡi. Bạn hãy thông báo ngay cho bác sĩ bất cứ triệu chứng nào trong quá trình sử dụng thuốc.","Thuốc Cozaar thường có các tác dụng phụ như chóng mặt, hạ huyết áp tư thế, ban đỏ, đau ngực, suy nhược, mệt mỏi…","Các tác dụng phụ thường gặp của thuốc Cozaar bao gồm: chóng mặt, hạ huyết áp tư thế, ban đỏ, đau ngực, suy nhược, mệt mỏi…"
184,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Khi quá liều thuốc Calcigenol có thể dẫn đến tình trạng gì?,"Khi quá liều Calcigenol có thể làm tăng nồng độ vitamin D. Quá nhiều vitamin D có thể gây tăng canxi máu, làm yếu cơ, mệt mỏi, ngủ gà, đau đầu, chán ăn, khô mồm, có vị kim loại, buồn nôn, nôn, đau bụng, táo bón, chóng mặt, ù tai, mất phối hợp động tác, phát ban, giảm trương lực cơ, đau cơ, xương.4 Khi vô tình uống quá liều, người dùng nên ngừng thuốc và đến ngay cơ sở y tế gần nhất để được thăm khám.",Khi quá liều thuốc Calcigenol có thể dẫn đến tình trạng tăng nồng độ vitamin D.,"Khi quá liều thuốc Calcigenol có thể làm tăng nồng độ vitamin D, gây tăng canxi máu, làm yếu cơ, mệt mỏi, ngủ gà, đau đầu, chán ăn, khô mồm, có vị kim loại, buồn nôn, nôn, đau bụng, táo bón, chóng mặt, ù tai, mất phối hợp động tác, phát ban, giảm trương lực cơ, đau cơ, xương."
185,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Thuốc Avalo được sử dụng vào thời điểm nào?,"Thuốc được chỉ định uống khởi đầu vào ngày đầu của chu kỳ kinh nguyệt. Bạn cần uống thuốc vào cùng 1 thời điểm trong ngày và mỗi ngày 1 viên. Để đạt được được kết quả tránh thai, bạn không bỏ lỡ bất kỳ liều thuốc nào. Đồng thời, bạn cũng không ngắt quãng thuốc kể cả khi có chảy máu xuất hiện. Trong trường hợp có chảy máu, bạn nên áp dụng thêm 1 phương pháp tránh thai phụ cho đến thời điểm hoàn thành hết 14 viên thuốc đầu tiên.",Thuốc được chỉ định uống khởi đầu vào ngày đầu của chu kỳ kinh nguyệt.,Thuốc Avalo được sử dụng vào ngày đầu của chu kỳ kinh nguyệt.
186,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Diorophyl là dạng thuốc gì?,"Thuốc được điều chế dưới dạng viên nang cứng, dùng bằng đường uống.1 Liều dùng cho người trưởng thành được nhà sản xuất khuyến cáo như sau:1 - Liều khởi đầu là 2 viên 800mg piracetam/lần, 3 lần/ngày.
- Nếu các triệu chứng đã cải thiện, người dùng có thể giảm liều còn một viên 400mg piracetam/lần, 3 lần/ngày.
- Lưu ý, không dùng quá liều tối đa 12 viên (4,8g piracetam)/ngày.
- Liều dùng có thể được điều chỉnh tùy thuộc độ tuổi của người bệnh hoặc mức độ trầm trọng của triệu chứng.",Diorophyl được bào chế dưới dạng viên nang cứng uống.,Diorophyl là dạng viên nang cứng.
187,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Người lái xe và người vận hành máy móc có được sử dụng thuốc Casalmux hay không?,"Hiện vẫn chưa có đầy đủ nghiên cứu trên người. Tuy nhiên: - Phụ nữ có thai, cho con bú: Lưu ý chỉ nên sử dụng thuốc trong thời gian có thai và cho con bú khi thật cần thiết. Nghĩa là sau khi đã cân nhắc thật kĩ giữa lợi ích và nguy cơ cẩn thận giữa mẹ và bé.
- Người vận hành máy móc: Thuốc hiếm khi gây ra tác dụng đau đầu trên người dùng thuốc. Do đó, vẫn có thể sử dụng cho người lái xe hoặc người vận hành máy móc. Tuy nhiên, dù hiếm nhưng vẫn có thể xảy ra. Do đó, nên thận trọng khi dùng.","Người lái xe và người vận hành máy móc vẫn có thể sử dụng thuốc Casalmux vì thuốc hiếm khi gây ra tác dụng phụ đau đầu. Tuy nhiên, nên thận trọng khi dùng vì vẫn có thể xảy ra tác dụng phụ này.","Thuốc Casalmux hiếm khi gây ra tác dụng đau đầu trên người dùng thuốc. Do đó, vẫn có thể sử dụng cho người lái xe hoặc người vận hành máy móc. Tuy nhiên, dù hiếm nhưng vẫn có thể xảy ra. Do đó, nên thận trọng khi dùng."
188,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Thuốc Amoksiklav nên được sử dụng như thế nào nếu quên một liều?,"- Nếu quên uống một liều, hãy uống ngay khi nhớ ra.
- Không nên dùng liều tiếp theo quá sớm, đợi khoảng 4 giờ trước khi dùng liều tiếp theo.
- Đừng gấp đôi liều để bù cho một liều quên.","Nếu quên uống một liều Amoksiklav, nên uống ngay khi nhớ ra.","Nếu quên uống một liều, hãy uống ngay khi nhớ ra."
189,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Làm sao để sử dụng thuốc Antimuc An Thiên?,"Thuốc Antimuc An Thiên được dùng đường uống. Thuốc ở dạng dung dịch và được đóng gói trong ống nhựa. Do đó, trước khi uống cần lắc đều ống thuốc. Sau đó dùng kéo hoặc dao cắt phần đầu ống sao cho thuốc có thể chảy ra được. Sau khi uống thuốc, có thể uống thêm một ngụm nước để đưa thuốc và giúp thuốc phát huy tác dụng. Bạn nên uống Antimuc sau bữa ăn hoặc trước khi ngủ để đạt hiệu quả cao.","Antimuc An Thiên được uống trực tiếp, dạng dung dịch.","Thuốc Antimuc An Thiên được dùng đường uống. Thuốc ở dạng dung dịch và được đóng gói trong ống nhựa. Do đó, trước khi uống cần lắc đều ống thuốc. Sau đó dùng kéo hoặc dao cắt phần đầu ống sao cho thuốc có thể chảy ra được. Sau khi uống thuốc, có thể uống thêm một ngụm nước để đưa thuốc và giúp thuốc phát huy tác dụng."
190,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Cần hoạt động thuốc Briozcal cho đối tượng sử dụng corticoid kéo dài nhằm mục đích gì?,#NAME?,Thuốc Briozcal được dùng để phòng và điều trị bệnh loãng xương ở những người đang dùng corticoid kéo dài.,"Cần hoạt động thuốc Briozcal cho đối tượng sử dụng corticoid kéo dài nhằm mục đích bổ sung canxi, vitamin D hàng ngày cho sự tăng trưởng hệ xương, răng của trẻ em, tuổi dậy thì, thanh thiếu niên."
191,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Tại sao phải để thuốc Ceritine xa tầm tay trẻ em?,"Bảo quản thuốc nơi khô ráo, thoáng mát, nhiệt độ không quá 30oC, tránh ánh sáng trực tiếp. Lưu ý: Để xa tầm tay trẻ em và đọc kỹ hưỡng dẫn sử dụng trước khi dùng. Qua bài viết này, YouMed đã giúp bạn trả lời cho câu hỏi Ceritine (cetirizine) là thuốc gì, công dụng, cách dùng và những điều cần lưu ý khi sử dụng. Việc sử dụng thuốc cần phải có sự hướng dẫn của bác sĩ điều trị. Trong quá trình sử dụng thuốc, nếu có xảy ra bất cứ tác dụng không mong muốn nào hãy liên hệ ngay với bác sĩ để được tư vấn hướng giải quyết tốt nhất!","Để đảm bảo an toàn cho trẻ nhỏ, tránh trường hợp trẻ uống phải thuốc gây tác dụng không mong muốn.","Để tránh trẻ em sử dụng thuốc, tránh trường hợp trẻ em tự ý dùng thuốc."
192,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Tăng liều gấp đôi thuốc Atorvastatin T.V Pharm có thể dẫn đến hậu quả gì?,"Nếu người bệnh vừa quên uống thuốc, họ có thể uống lại ngay lúc nhớ ra. Ngược lại, nếu bạn đã quên uống thuốc lâu và sắp tới liều tiếp theo, hãy bỏ qua liều quên. Đặc biệt, người bệnh không được tự ý tăng liều gấp đôi vì sẽ gây nguy hiểm cho sức khỏe.",Nguy hiểm cho sức khỏe.,Tăng liều gấp đôi thuốc Atorvastatin T.V Pharm có thể dẫn đến hậu quả nguy hiểm cho sức khỏe.
193,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Amoxicillin 500 mg Mekophar được chống chỉ định trong những trường hợp nào?,"Không sử dụng Amoxicillin 500 mg Mekophar cho những trường hợp sau: - Người đã từng bị dị ứng với bất kỳ loại amoxicillin hoặc dị ứng với bất kỳ penicilin nào thì không nên dùng thuốc này.
- Bệnh nhân bị tăng bạch cầu đơn nhân nhiễm khuẩn.",Người đã từng bị dị ứng với bất kỳ loại amoxicillin hoặc dị ứng với bất kỳ penicilin nào thì không nên dùng thuốc này.,Amoxicillin 500 mg Mekophar được chống chỉ định trong những trường hợp sau: - Người đã từng bị dị ứng với bất kỳ loại amoxicillin hoặc dị ứng với bất kỳ penicilin nào thì không nên dùng thuốc này. - Bệnh nhân bị tăng bạch cầu đơn nhân nhiễm khuẩn.
194,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Có những triệu chứng nào có thể gặp khi quá liều Acehasan?,"Khi quá liều Acehasan, bệnh nhân sẽ có triệu chứng tương tự như triệu chứng của phản vệ. Tuy nhiên biểu hiện nghiêm trọng hơn nhiều, đặc biệt là giảm huyết áp. Các triệu chứng khác có thể gặp bao gồm: suy hô hấp, tan máu, đông máu rải rác nội mạch và suy thận. Do đó, hãy đến bệnh viện ngay lập tức và mang theo thuốc để bác sĩ có thể tìm lí do dễ dàng và xử trí kịp thời.","Những triệu chứng có thể gặp khi quá liều Acehasan bao gồm suy hô hấp, tan máu, đông máu rải rác nội mạch và suy thận.","Các triệu chứng có thể gặp khi quá liều Acehasan bao gồm suy hô hấp, tan máu, đông máu rải rác nội mạch và suy thận."
195,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Trong những trường hợp nào Amlor 5 Pfizer được sử dụng?,"Thuốc Amlor 5 Pfizer được sử dụng trong các trường hợp sau:1 - Tăng huyết áp.
- Đau thắt ngực ổn định mạn tính.
- Đạu thắt ngực do co thắt mạch (đau thắt ngực Prinzmental).","Amlor 5 Pfizer được sử dụng trong các trường hợp tăng huyết áp, đau thắt ngực ổn định mạn tính và đau thắt ngực do co thắt mạch (đau thắt ngực Prinzmental).","Amlor 5 Pfizer được sử dụng trong các trường hợp tăng huyết áp, đau thắt ngực ổn định mạn tính và đau thắt ngực do co thắt mạch (đau thắt ngực Prinzmental)."
196,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Thuốc Agimfast 60 có bài tiết qua sữa mẹ hay không?,"Do chưa có nghiên cứu đầy đủ trên người mang thai, nên chỉ dùng Agimfast 60 cho phụ nữ mang thai khi lợi ích cho mẹ vượt trội nguy cơ đối với thai nhi. Không rõ thuốc có bài tiết qua sữa hay không, dù chưa thấy tác dụng không mong muốn ở trẻ sơ sinh khi bà mẹ cho con bú dùng Agimfast. Vì vậy cần xem xét kĩ khi dùng thuốc này cho phụ nữ đang cho con bú. Hỏi kĩ ý kiến của bác sĩ khi có ý định dùng thuốc.",Chưa có nghiên cứu đầy đủ về việc thuốc Agimfast 60 có bài tiết qua sữa mẹ hay không.,"Thuốc Agimfast 60 chưa được nghiên cứu trên người mang thai, do đó chưa có bằng chứng về bài tiết qua sữa mẹ."
197,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Sự hấp thu thuốc kháng sinh Amoxicillin Brawn có bị ảnh hưởng bởi thức ăn không?,"Kháng sinh Amoxicillin Brawn được sử dụng bằng đường uống. Sự hấp thu thuốc không bị ảnh hưởng bởi thức ăn. Tuy nhiên, khi uống thuốc cần lưu ý uống cùng với nhiều nước, khoảng 150 – 200 ml, và không được mở nắp nang.","Không, sự hấp thu thuốc kháng sinh Amoxicillin Brawn không bị ảnh hưởng bởi thức ăn.","Không, sự hấp thu thuốc không bị ảnh hưởng bởi thức ăn."
198,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Người bệnh nào không nên dùng thuốc Disulfiram?,#NAME?,"Người bệnh không nên dùng thuốc Disulfiram nếu dị ứng với bất cứ thành phần nào khác có trong công thức của thuốc, bị ngộ độc rượu, mắc bệnh tim mạch, loạn thần.","Người bệnh bị dị ứng với bất cứ thành phần nào khác có trong công thức của thuốc, người bệnh bị ngộ độc rượu, người bệnh bị bệnh tim mạch, loạn thần không nên dùng thuốc Disulfiram."
199,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Tác dụng phụ của thuốc CellCept có thể dẫn đến tình trạng nào?,"- Da: mụn lở loét, zona, rụng tóc, nổi mẩn;
- Tiêu hóa: buồn nôn, nôn ói, đau bụng, tiêu chảy, táo bón, khó tiêu, đầy hơi, ợ hơi.
- Nguy cơ bị tràn dịch màng phổi, khó thở;
- Xuất huyết tiêu hóa, viêm phúc mạc, hoặc tắc ruột, viêm dạ dày, viêm đại tràng, loét dạ dày, tá tràng, viêm thực quản.
- Có thể làm tăng hay hạ huyết áp;
- Kích động, lú lẫn, trầm cảm, lo âu, mất ngủ;
- Tăng hoặc hạ kali máu, tăng đường huyết, hạ magie máu, hạ canxi, tăng cholesterol máu, tăng lipid huyết, tăng phosphat;
- Tăng axit uric máu, gút,
- Xuất hiện tình trạng chán ăn, sụt cân;
- Hô hấp: viêm phổi, nhiễm trùng đường hô hấp, viêm phế quản, viêm thanh quản, viêm xoang.","Tác dụng phụ của thuốc CellCept có thể dẫn đến tình trạng chán ăn, sụt cân.","Tác dụng phụ của thuốc CellCept có thể dẫn đến tình trạng chán ăn, sụt cân."
200,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,"Ngoài điều trị tình trạng phỏng, thuốc Biafine còn được dùng trong trường hợp nào khác?","Kem trị bỏng Biafine được dùng trong điều trị các tình trạng phỏng ở cấp độ 1 và 2 và tất cả vết thương ngoài da không nhiễm trùng. Ngoài ra, kem Biafine còn được dùng trong điều trị tình trạng đỏ da thứ phát do xạ trị.",Thuốc Biafine còn được dùng trong điều trị tình trạng đỏ da thứ phát do xạ trị.,"Ngoài điều trị tình trạng phỏng, thuốc Biafine còn được dùng trong điều trị tình trạng đỏ da thứ phát do xạ trị."
201,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Sử dụng Aciclovir có thể gây ra những tác dụng phụ nào?,"Thông báo cho bác sĩ những tác dụng không mong muốn gặp phải khi sử dụng thuốc. Các tác dụng phụ thường hiếm xảy ra và nhẹ, tự hết. Nếu các triệu chứng nặng như lú lẫn, hôn mê ở người suy thận, phải ngừng thuốc ngay. Diễn biến thường tốt sau khi ngừng thuốc, ít khi phải thẩm phân máu.","Các tác dụng phụ thường hiếm xảy ra và nhẹ, tự hết sau một thời gian.","Các tác dụng phụ thường hiếm xảy ra và nhẹ, tự hết."
202,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Đã có tài liệu nghiên cứu nào nêu rõ hậu quả khi dùng quá liều thuốc Cavinton hay chưa?,"Hiện tại, vẫn chưa có nhiều dữ liệu cho thấy quá liều khi dùng thuốc Cavinton. Tuy nhiên, nếu có bất kì triệu chứng nào bất thường hãy tìm đến trạm y tế hoặc bệnh viện gần nhất để có thể được cấp cứu kịp thời.",Hiện tại vẫn chưa có nhiều dữ liệu cho thấy quá liều khi dùng thuốc Cavinton.,"Hiện tại, vẫn chưa có nhiều dữ liệu cho thấy quá liều khi dùng thuốc Cavinton."
203,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Citicoline còn có công dụng nào khác không?,"Citicoline được dùng điều trị bệnh Alzheimer, các loại chứng mất trí. Ngoài ra, Citicoline còn giúp điều trị các chấn thương ở đầu, bệnh mạch máu não như đột quỵ. Không những vậy, thuốc còn giúp điều trị các trường hợp mất trí nhớ liên quan đến tuổi, bệnh Parkinson, rối loạn tăng động giảm chú ý, bệnh tăng nhãn áp.","Ngoài ra, Citicoline còn giúp điều trị các chấn thương ở đầu, bệnh mạch máu não như đột quỵ.","Citicoline còn có công dụng điều trị các trường hợp mất trí nhớ liên quan đến tuổi, bệnh Parkinson, rối loạn tăng động giảm chú ý, bệnh tăng nhãn áp."
204,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Bạn cần lưu ý điều gì trước khi sử dụng Apitim?,"Đối với những bệnh nhân suy gan, thời gian bán thải của amlodipin tăng. Vì vậy, có thể cân nhắc cần phải giảm liều hoặc kéo dài thời gian giữa các liều dùng. Bạn nên đọc kỹ hướng dẫn sử dụng trước khi dùng. Thuốc chỉ sử dụng theo hướng dẫn của chuyên gia y tế.","Để đảm bảo an toàn, bạn nên đọc kỹ hướng dẫn sử dụng trước khi dùng Apitim. Thuốc chỉ sử dụng theo hướng dẫn của chuyên gia y tế.",Bạn nên đọc kỹ hướng dẫn sử dụng trước khi dùng.
205,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Thuốc nào khi kết hợp với Aticef có thể làm giảm khả năng bài tiết Aticef?,"Một số thuốc khi kết hợp với Aticef có thể làm cho sinh khả dụng và dược lực giảm đáng kể: - Cholestyramin dùng phối hợp với Aticef làm chậm sự hấp thu của Aticef.
- Probenecid kết hợp với Aticef có thể làm giảm khả năng làm giảm bài tiết Aticef.
- Dùng đồng thời Aticef với thuốc aminoglycosid hoặc furosemid có thể làm tăng độc tính cho thận.",Thuốc Probenecid khi kết hợp với Aticef có thể làm giảm khả năng bài tiết Aticef.,Probenecid kết hợp với Aticef có thể làm giảm khả năng bài tiết Aticef.
206,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Nên bảo quản thuốc Augmentin thế nào?,"Với dạng viên nén bao phim và bột pha hỗn dịch uống: bảo quản nơi khô ráo, không quá 30 °C. Riêng dạng viên nén, hạn sử dụng là 14 ngày sau khi mở vỉ thuốc. Với dạng bột pha tiêm bảo quản nơi khô ráo không quá 25 °C. Tránh xa tầm tay trẻ em. Augmentin 500 mg/62,5 mg là thuốc kháng sinh với phổ kháng khuẩn rộng thường dùng để chống lại các vi khuẩn gây bệnh trong cộng đồng và bệnh viện. Tuy nhiên, việc sử dụng thuốc, đặc biệt là kháng sinh, nên được dùng theo sự chỉ định của bác sĩ. Nếu bạn có dấu hiệu bị nhiễm trùng, hãy đi khám bác sĩ để được điều trị một cách hiệu quả nhất.","Thuốc Augmentin dạng viên nén bao phim và bột pha hỗn dịch uống: bảo quản nơi khô ráo, không quá 30 độ C. Riêng dạng viên nén, hạn sử dụng là 14 ngày sau khi mở vỉ thuốc.","Thuốc Augmentin nên được bảo quản nơi khô ráo, không quá 30 °C."
207,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Cerebrolysin có dạng bào chế nào?,"Cerebrolysin là một dạng pep-tid sản xuất bằng phương pháp cắt đoạn bởi enzym, dựa trên công nghệ sinh học đã được chuẩn hoá. Thuốc được sản xuất từ protein não lợn đã tinh chế. Dạng dung dịch của thuốc dùng để tiêm hoặc truyền, không chứa lipid, protein hoặc các hợp chất có tính kháng nguyên khác. Thuốc được đóng vào những ống tiêm có thể tích 5 ml hoặc 10 ml. Mỗi ml dung dịch chứa 215,2 mg peptid cerebrolysin concentrate và sodium 2,1 mg hydroxide.",Cerebrolysin có dạng dung dịch tiêm hoặc truyền.,"Cerebrolysin được bào chế dưới dạng dung dịch, không chứa lipid, protein hoặc các hợp chất có tính kháng nguyên khác."
